id,submitdate,lastpage,startlanguage,seed,startdate,datestamp,refurl,ProlificID,SessionID,StudyID,group,Checks,Instruction,VMVE,VMIE,IMVE,IMIE,ComprehensionCheck,SAMontero[ComfortPublic],SAMontero[ComfortPrivate],SAPearson,SAKoelle,ConfidenceKoelle,LocationsRico[parking],LocationsRico[carpark],LocationsRico[servicearea],LocationsRico[pavement],LocationsRico[home],LocationsRico[driving],LocationsRico[passenger],LocationsRico[pub],LocationsRico[workplace],AudiencesRico[alone],AudiencesRico[partner],AudiencesRico[friends],AudiencesRico[colleagues],AudiencesRico[strangers],AudiencesRico[family],Gender,Age,SurveyFinished,interviewtime,groupTime7,ProlificIDTime,SessionIDTime,StudyIDTime,groupTime,ChecksTime,groupTime8,InstructionTime,VMVETime,VMIETime,IMVETime,IMIETime,ComprehensionCheckTime,groupTime10,SAMonteroTime,SAPearsonTime,SAKoelleTime,ConfidenceKoelleTime,LocationsRicoTime,AudiencesRicoTime,groupTime9,GenderTime,AgeTime,SurveyFinishedTime
13,2024-07-22 22:00:19,20,en,1667689950,2024-07-22 21:56:06,2024-07-22 22:00:19,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,3,,,,,,,3,6,6,5,7,7,5,4,5,4,5,6,6,5,5,4,5,5,5,4,5,femal,43,,168.07,,,,,,,,17.93,,,6.68,,17.54,,10.02,7.17,7.95,5.3,54.16,25.2,,5.6,5.72,4.8
14,2024-07-22 22:04:31,20,en,600463240,2024-07-22 21:56:13,2024-07-22 22:04:31,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,1,,,,,,,1,6,6,5,7,7,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,male,51,,201.53,,,,,,,,14.11,35.61,,,,14.58,,12.1,7.94,5.65,8.13,58.95,21.19,,7.56,8.19,7.52
15,2024-07-22 22:03:43,20,en,870227406,2024-07-22 21:56:56,2024-07-22 22:03:43,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,1,,,,,,,1,6,6,5,7,7,5,5,5,5,5,6,6,5,5,6,5,5,5,5,5,femal,34,,261.43,,,,,,,,122.86,7.22,,,,47.01,,5.59,4.65,4.91,3.99,36.43,20.11,,3.04,3.14,2.48
16,2024-07-22 21:59:12,20,en,913441743,2024-07-22 21:57:05,2024-07-22 21:59:11,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,1,,,,,,,1,6,6,5,7,7,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,femal,30,,109.31,,,,,,,,12.89,23.46,,,,15.12,,4.83,4.85,4.39,3.97,21.11,8.75,,3.58,3.37,2.99
17,2024-07-22 21:59:44,20,en,1388164175,2024-07-22 21:57:06,2024-07-22 21:59:44,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,4,,,,,,,4,6,6,5,7,7,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,femal,31,,156.89,,,,,,,,14.37,,,,37.92,11.59,,9.36,5.26,4.64,6.18,32.54,18.61,,4.93,6.26,5.23
18,2024-07-22 21:59:47,20,en,131264877,2024-07-22 21:57:08,2024-07-22 21:59:47,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,2,,,,,,,2,5,5,1,6,6,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,femal,25,,157.23,,,,,,,,17.42,,22.52,,,8.52,,10.89,6.42,10.03,13.76,47.11,10.07,,3.43,3.73,3.33
19,2024-07-22 21:59:52,20,en,544219454,2024-07-22 21:57:36,2024-07-22 21:59:52,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,1,,,,,,,2,6,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,male,23,,130.95,,,,,,,,2.65,26.31,,,,14.99,,9.64,8.55,6.63,6.09,20.72,22.37,,5.22,4.37,3.41
20,2024-07-22 22:04:45,20,en,1914811334,2024-07-22 21:57:46,2024-07-22 22:04:45,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,1,,,,,,,1,6,4,5,7,7,5,5,5,5,5,6,6,6,5,5,5,5,5,2,5,femal,35,,418.23,,,,,,,,18.86,25.55,,,,289.18,,6.92,4.66,5.06,3.71,25.56,13.91,,5.63,4.91,14.28
21,2024-07-22 21:59:58,20,en,410872080,2024-07-22 21:57:58,2024-07-22 21:59:58,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,2,,,,,,,2,6,6,5,7,7,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5,femal,28,,115.71,,,,,,,,10.55,,34.67,,,5.55,,5.72,4.61,5.28,5.02,24.14,11.06,,3.16,4,1.95
22,2024-07-22 22:00:50,20,en,109866512,2024-07-22 21:58:43,2024-07-22 22:00:50,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,4,,,,,,,4,6,6,5,7,7,5,5,5,3,5,3,6,6,6,5,5,5,5,5,5,femal,46,,122.84,,,,,,,,4.85,,,,32.41,6.97,,6.65,6.22,4.58,4.56,30.36,15.31,,4.5,4.12,2.31
23,2024-07-22 22:01:58,20,en,1702413991,2024-07-22 21:58:52,2024-07-22 22:01:58,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,3,,,,,,,4,6,6,3,4,3,3,3,3,3,3,6,6,6,3,5,5,3,3,3,3,femal,42,,178.27,,,,,,,,14.38,,,26.14,,14.59,,13.63,7.08,9.25,10.54,44.95,24.57,,6.35,5.02,1.77
24,2024-07-22 22:01:53,20,en,2060502421,2024-07-22 21:58:52,2024-07-22 22:01:53,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,3,,,,,,,3,6,6,5,7,7,5,5,5,5,5,6,6,5,6,5,5,5,5,5,5,femal,29,,165.07,,,,,,,,15.8,,,33.76,,19.8,,10.3,4.38,8.53,8,35.1,16.48,,5.08,4.55,3.29
25,2024-07-22 22:00:48,20,en,426701011,2024-07-22 21:59:11,2024-07-22 22:00:48,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,2,,,,,,,2,6,6,5,7,7,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,femal,26,,96.83,,,,,,,,7.98,,21.11,,,7.38,,8.41,4.92,3.53,3.66,21.49,7.84,,3.99,3.96,2.56
26,2024-07-22 22:04:46,20,en,749975151,2024-07-22 21:59:11,2024-07-22 22:04:46,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,2,,,,,,,2,2,6,2,1,1,2,2,3,1,5,6,6,1,1,5,5,2,2,1,4,male,66,,323.57,,,,,,,,30.96,,60.04,,,43.68,,23.09,13.52,13.56,10.7,72.13,32.74,,6,8.51,8.64
27,2024-07-22 22:02:54,20,en,1228843687,2024-07-22 21:59:30,2024-07-22 22:02:54,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,4,,,,,,,4,5,5,3,6,6,5,4,5,2,5,4,2,5,3,5,2,2,2,5,2,male,47,,196.17,,,,,,,,11.83,,,,41.22,17.72,,17.06,7.56,6.65,9.04,38.62,24.93,,7.86,8.56,5.12
28,2024-07-22 22:03:31,20,en,677200264,2024-07-22 21:59:36,2024-07-22 22:03:31,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,2,,,,,,,2,6,6,5,7,7,5,5,5,4,5,6,6,6,6,5,5,5,5,5,5,male,40,,234.17,,,,,,,,19.97,,43.18,,,14.18,,9.22,7.46,7.02,7.68,52.63,59.5,,4.14,5.77,3.42
29,2024-07-22 22:01:54,20,en,1490979544,2024-07-22 21:59:41,2024-07-22 22:01:54,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,3,,,,,,,3,6,6,5,7,7,5,5,5,5,5,6,6,6,5,6,5,5,5,5,5,femal,33,,123.6,,,,,,,,9.91,,,28.21,,8.92,,9.97,4.09,5.19,4.69,22.2,17.12,,4.23,4.67,4.4
30,2024-07-22 22:03:32,20,en,1599890320,2024-07-22 21:59:43,2024-07-22 22:03:32,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,4,,,,,,,4,5,5,5,7,7,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,male,49,,222.45,,,,,,,,12.94,,,,48.88,33.75,,9.84,7.56,7.27,6.63,53.41,23.74,,7.07,5.71,5.65
31,2024-07-22 22:02:32,20,en,1635147716,2024-07-22 21:59:47,2024-07-22 22:02:32,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,2,,,,,,,2,6,6,5,7,7,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,femal,29,,164.41,,,,,,,,9.12,,39.88,,,10.54,,8.98,4.55,4.94,3.9,53.29,16.23,,5.03,5.2,2.75
32,2024-07-22 22:02:40,20,en,248586208,2024-07-22 21:59:49,2024-07-22 22:02:40,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,2,,,,,,,2,6,6,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,male,26,,161.81,,,,,,,,14.8,,23.11,,,9.42,,11.05,4.95,7.65,7.2,46.47,26.2,,2.88,4.76,3.32
33,2024-07-22 22:04:04,20,en,731059496,2024-07-22 22:00:06,2024-07-22 22:04:04,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,4,,,,,,,4,6,6,5,7,6,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5,femal,28,,237.54,,,,,,,,10.67,,,,55.6,18.17,,11.49,8.75,10.63,9.29,82.07,18.95,,2.65,3.53,5.74
34,2024-07-22 22:02:06,20,en,1708706103,2024-07-22 22:00:15,2024-07-22 22:02:06,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,1,,,,,,,1,6,6,5,7,7,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,male,30,,112.75,,,,,,,,7.2,26.72,,,,7.34,,10.05,4.16,3.36,3.69,26.75,11.8,,3.86,4.41,3.41
35,2024-07-22 22:05:11,20,en,1393174578,2024-07-22 22:00:26,2024-07-22 22:05:11,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,2,,,,,,,2,6,6,5,7,7,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,femal,61,,256.08,,,,,,,,26.95,,39.63,,,10.89,,10.18,6.28,6.48,26.37,54.93,17.44,,4.34,8.79,43.8
36,2024-07-22 22:03:45,20,en,1551458687,2024-07-22 22:00:35,2024-07-22 22:03:45,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,4,,,,,,,4,6,6,5,7,7,5,5,5,5,5,6,6,6,5,6,5,5,5,5,5,male,28,,172.47,,,,,,,,8.8,,,,38.27,7.84,,10.41,4.89,7.84,5.77,30.56,23.93,,8.51,6.05,19.6
37,2024-07-22 22:04:08,20,en,1912437562,2024-07-22 22:00:39,2024-07-22 22:04:08,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,3,,,,,,,3,6,6,5,7,7,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,femal,56,,198.44,,,,,,,,22.81,,,29.39,,11.48,,10.93,6.27,10.86,5.75,65.47,20.21,,3.81,7.39,4.07
38,2024-07-22 22:02:29,20,en,1822108439,2024-07-22 22:00:40,2024-07-22 22:02:29,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,3,,,,,,,3,6,6,5,7,7,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,male,43,,104.58,,,,,,,,6.02,,,22.85,,8.17,,5.62,4.33,3.72,3.67,30.76,9.33,,3.35,4.19,2.57
39,2024-07-22 22:02:25,20,en,211994209,2024-07-22 22:00:46,2024-07-22 22:02:25,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,3,,,,,,,1,6,6,5,7,7,5,5,5,5,6,6,6,5,5,5,5,5,5,5,5,femal,51,,97.61,,,,,,,,7.35,,,22.35,,5.36,,6.57,3.94,3.71,4.04,16.85,13.23,,6.15,4.09,3.97
40,2024-07-22 22:03:09,20,en,418251207,2024-07-22 22:00:53,2024-07-22 22:03:09,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,1,,,,,,,1,6,6,5,7,7,5,5,5,5,6,6,6,6,5,5,5,5,5,5,5,femal,27,,118.49,,,,,,,,9.12,22.59,,,,11,,6.35,5.15,5.47,3.69,31.23,9.73,,3.62,4.38,6.16
41,2024-07-22 22:03:26,20,en,1584042352,2024-07-22 22:01:02,2024-07-22 22:03:26,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,3,,,,,,,3,6,6,5,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,femal,38,,143.87,,,,,,,,11.88,,,28.89,,16.37,,10.67,5.49,6.24,5.83,33.23,12.99,,3.02,4.69,4.57
42,2024-07-22 22:03:14,20,en,30342488,2024-07-22 22:01:05,2024-07-22 22:03:14,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,3,,,,,,,3,6,6,5,7,6,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5,male,24,,124.33,,,,,,,,11.3,,,22.42,,14.63,,8.78,4.73,3.67,8.72,29.88,9.42,,4.24,3.49,3.05
43,2024-07-22 22:03:24,20,en,514666393,2024-07-22 22:01:11,2024-07-22 22:03:24,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,4,,,,,,,4,6,6,5,7,7,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,femal,43,,134.46,,,,,,,,13.45,,,,34.25,10.75,,12.17,3.31,5.8,4.86,24.51,13.31,,4.32,3.26,4.47
44,2024-07-22 22:05:53,20,en,1382997667,2024-07-22 22:01:15,2024-07-22 22:05:53,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,1,,,,,,,1,5,6,5,6,6,5,5,5,5,5,6,6,4,4,5,5,5,5,4,5,male,30,,268.81,,,,,,,,20.37,24.39,,,,26.84,,14.27,9.71,10.42,9.42,125.4,15.65,,3.49,4.59,4.26
45,2024-07-22 22:15:29,20,en,293889343,2024-07-22 22:01:17,2024-07-22 22:15:29,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,1,,,,,,,1,6,6,4,6,6,5,4,4,4,4,4,1,4,5,4,5,5,5,1,5,femal,29,,849.9,,,,,,,,2.99,74.28,,,,23.62,,580.91,93.72,7.01,4.53,21.22,20.14,,12.94,4.47,4.07
46,,6,en,1572037744,2024-07-22 22:01:20,2024-07-22 22:06:07,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.21,,,,,,,,278.21,,,,,,,,,,,,,,,,
47,2024-07-22 22:04:03,20,en,384256835,2024-07-22 22:01:20,2024-07-22 22:04:03,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,1,,,,,,,1,6,6,5,7,7,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,femal,40,,153.45,,,,,,,,13.23,38.53,,,,14.24,,6.09,4.09,4.8,5.4,36.28,14.9,,5.04,4.68,6.17
48,2024-07-22 22:04:30,20,en,1603735767,2024-07-22 22:01:22,2024-07-22 22:04:30,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,4,,,,,,,4,6,6,5,7,7,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,femal,38,,178.38,,,,,,,,10.31,,,,63.43,9.02,,9.99,4.45,9.19,6.22,33.97,17.43,,3.74,6.76,3.87
49,2024-07-22 22:04:00,20,en,1493383845,2024-07-22 22:01:29,2024-07-22 22:04:00,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,2,,,,,,,4,5,5,4,6,6,5,5,5,5,5,6,6,5,6,5,5,5,5,5,5,male,28,,148.57,,,,,,,,2.73,,38.04,,,22.92,,7.36,4.97,5.33,4.84,32.89,14.1,,4.62,5.79,4.98
50,2024-07-22 22:05:23,20,en,909701515,2024-07-22 22:01:38,2024-07-22 22:05:23,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,1,,,,,,,1,4,5,5,5,3,4,5,4,3,4,6,6,6,4,5,4,3,3,3,4,femal,26,,217.96,,,,,,,,13.46,23.83,,,,14.17,,12.61,15.42,6.71,10.72,51.49,54.75,,5.9,5.23,3.67
51,2024-07-22 22:04:51,20,en,2408136,2024-07-22 22:01:43,2024-07-22 22:04:51,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,3,,,,,,,3,6,6,5,7,7,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,femal,24,,157.24,,,,,,,,9.21,,,39.33,,10.39,,7.87,6.88,6.64,6.55,29.29,21.41,,8.39,6.62,4.66
52,2024-07-22 22:05:38,20,en,103423394,2024-07-22 22:01:44,2024-07-22 22:05:38,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,1,,,,,,,1,6,6,5,7,7,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5,femal,37,,234.39,,,,,,,,12.07,23.2,,,,23.62,,13.05,4.74,5.56,7.85,108.76,21.98,,3.2,6.97,3.39
53,2024-07-22 22:04:41,20,en,877853066,2024-07-22 22:01:54,2024-07-22 22:04:41,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,2,,,,,,,2,6,6,5,7,7,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,femal,35,,165.1,,,,,,,,14.3,,25.54,,,16.81,,9.08,7.04,8.48,5.8,43.24,22.17,,2.98,6.19,3.47
54,2024-07-22 22:06:03,20,en,1647117815,2024-07-22 22:02:05,2024-07-22 22:06:03,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,4,,,,,,,4,6,6,5,7,7,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,femal,42,,216.27,,,,,,,,19.19,,,,77.64,13.47,,8.81,7.59,11.97,8.85,34.91,18.73,,4.02,4.55,6.54
55,2024-07-22 22:05:25,20,en,1653162406,2024-07-22 22:02:12,2024-07-22 22:05:25,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,2,,,,,,,2,5,6,5,7,6,5,5,5,5,5,6,6,5,5,5,5,5,5,4,5,femal,37,,182.2,,,,,,,,12.91,,30.28,,,9.94,,15.86,13.32,4.79,15.42,49.52,18.39,,3.44,5.1,3.23
56,2024-07-22 22:04:30,20,en,1705459296,2024-07-22 22:02:15,2024-07-22 22:04:30,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,2,,,,,,,2,5,5,5,6,6,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,femal,44,,130.62,,,,,,,,5.59,,26.98,,,13.88,,10.85,5.03,5.61,5.78,29.18,15.59,,3.04,5.5,3.59
57,2024-07-22 22:06:48,20,en,1151640966,2024-07-22 22:02:19,2024-07-22 22:06:48,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,1,,,,,,,1,6,6,5,7,7,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,femal,34,,245.29,,,,,,,,68.07,34.13,,,,20.65,,9.78,8.55,6.18,15.93,50.22,17.42,,4.63,4.43,5.3
58,2024-07-22 22:05:02,20,en,119070810,2024-07-22 22:02:26,2024-07-22 22:05:02,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,2,,,,,,,2,6,6,5,7,7,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,femal,46,,151.88,,,,,,,,12.99,,21.75,,,13.56,,8.4,5.79,8.08,5.83,35.25,24.25,,3.87,7.47,4.64
59,2024-07-22 22:04:47,20,en,645533896,2024-07-22 22:02:27,2024-07-22 22:04:47,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,1,,,,,,,1,3,5,5,6,5,4,4,4,4,5,2,3,3,4,5,4,4,4,3,5,male,32,,132.51,,,,,,,,13.58,31.7,,,,9.21,,11.2,5.04,5.57,4.78,26.13,14.44,,3.42,3.41,4.03
60,2024-07-22 22:05:41,20,en,2079349359,2024-07-22 22:02:32,2024-07-22 22:05:41,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,4,,,,,,,4,6,6,5,7,7,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,femal,27,,155.13,,,,,,,,16.25,,,,21.74,14.4,,8.74,6.48,7.02,8.41,34.14,24.08,,3.05,5.25,5.57
61,,10,en,123679200,2024-07-22 22:02:35,2024-07-22 22:03:01,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,,,,,,,15.17,1.73,,,,,,,,,,,,,,,
62,2024-07-22 22:06:29,20,en,1291965502,2024-07-22 22:02:39,2024-07-22 22:06:29,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,2,,,,,,,2,2,4,3,5,3,3,3,3,3,4,6,6,6,3,3,2,2,2,3,4,femal,36,,146.86,,,,,,,,10.46,,40.47,,,7.52,,11.21,6.6,7.19,5.5,26.43,18.44,,4.25,5.39,3.4
63,2024-07-22 22:04:49,20,en,573242202,2024-07-22 22:02:40,2024-07-22 22:04:49,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,2,,,,,,,2,6,6,5,7,7,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,femal,38,,118.36,,,,,,,,11.61,,22.82,,,11.03,,9.24,6.68,4.86,6.03,27.17,6.69,,3.64,6.37,2.22
64,2024-07-22 22:05:22,20,en,168476756,2024-07-22 22:02:45,2024-07-22 22:05:22,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,2,,,,,,,2,6,6,5,7,7,5,5,5,5,4,6,4,4,4,5,5,5,5,5,5,femal,31,,157.32,,,,,,,,10.3,,34.21,,,7.95,,9.62,4.86,4.96,4.81,58.8,9.66,,6.06,3.42,2.67
65,2024-07-22 22:05:34,20,en,1880077543,2024-07-22 22:02:46,2024-07-22 22:05:34,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,1,,,,,,,1,6,6,5,7,6,6,6,4,6,5,6,3,4,5,1,1,1,1,1,1,femal,38,,167.04,,,,,,,,20.85,30.87,,,,14.48,,22.58,8.8,5.94,6.27,19.31,20.75,,10.01,4.13,3.05
66,2024-07-22 22:07:56,20,en,2047994141,2024-07-22 22:03:04,2024-07-22 22:07:56,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,4,,,,,,,4,5,3,4,6,6,4,4,4,3,5,3,1,2,4,3,5,5,4,3,5,male,33,,216.38,,,,,,,,20.33,,,,37.15,9.06,,34.28,4.25,5.13,5.12,61.45,22.11,,5.57,5.06,6.87
67,2024-07-22 22:05:27,20,en,1976399541,2024-07-22 22:03:07,2024-07-22 22:05:26,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,1,,,,,,,1,6,6,5,7,5,5,5,5,5,5,6,6,4,4,6,5,5,5,4,5,femal,27,,139.62,,,,,,,,10.28,25.62,,,,12.67,,7.63,6.45,5.87,7,32.78,18.15,,4.63,4.54,4
